created,created_by_ref,description,external_references,id,kill_chain_phases,modified,name,object_marking_refs,revoked,type,x_mitre_contributors,x_mitre_data_sources,x_mitre_defense_bypassed,x_mitre_deprecated,x_mitre_detectable_by_common_defenses,x_mitre_detectable_by_common_defenses_explanation,x_mitre_detection,x_mitre_difficulty_for_adversary,x_mitre_difficulty_for_adversary_explanation,x_mitre_effective_permissions,x_mitre_impact_type,x_mitre_network_requirements,x_mitre_old_attack_id,x_mitre_permissions_required,x_mitre_platforms,x_mitre_remote_support,x_mitre_system_requirements,x_mitre_tactic_type,x_mitre_version
2019-10-09 18:48:31.906000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts.

Adversaries may also subsequently log off and/or reboot boxes to set malicious changes into place.(Citation: CarbonBlack LockerGoga 2019)(Citation: Unit42 LockerGoga 2019)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1531', external_id='T1531'), ExternalReference(source_name='CarbonBlack LockerGoga 2019', description='CarbonBlack Threat Analysis Unit. (2019, March 22). TAU Threat Intelligence Notification – LockerGoga Ransomware. Retrieved April 16, 2019.', url='https://www.carbonblack.com/2019/03/22/tau-threat-intelligence-notification-lockergoga-ransomware/'), ExternalReference(source_name='Unit42 LockerGoga 2019', description='Harbison, M.. (2019, March 26). Born This Way? Origins of LockerGoga. Retrieved April 16, 2019.', url='https://unit42.paloaltonetworks.com/born-this-way-origins-of-lockergoga/')]",attack-pattern--b24e2a20-3b3d-4bf0-823b-1ed765398fb0,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='impact')]",2019-10-14 23:29:24.908000+00:00,Account Access Removal,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,,"['Windows event logs', 'Process command-line parameters', 'Process monitoring']",,,,,"Use process monitoring to monitor the execution and command line parameters of binaries involved in deleting accounts or changing passwords, such as use of [Net](https://attack.mitre.org/software/S0039). Windows event logs may also designate activity associated with an adversary's attempt to remove access to an account:

* Event ID 4723 - An attempt was made to change an account's password
* Event ID 4724 - An attempt was made to reset an account's password
* Event ID 4726 - A user account was deleted
* Event ID 4740 - A user account was locked out

Alerting on [Net](https://attack.mitre.org/software/S0039) and these Event IDs may generate a high degree of false positives, so compare against baseline knowledge for how systems are typically used and correlate modification events with other indications of malicious activity where possible.",,,,['Availability'],,,"['User', 'Administrator', 'root', 'SYSTEM']","['Linux', 'macOS', 'Windows']",,,,1.0
2019-10-08 20:08:56.205000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries can use stolen session cookies to authenticate to web applications and services. This technique bypasses some multi-factor authentication protocols since the session is already authenticated.(Citation: Pass The Cookie)

Authentication cookies are commonly used in web applications, including cloud-based services, after a user has authenticated to the service so credentials are not passed and re-authentication does not need to occur as frequently. Cookies are often valid for an extended period of time, even if the web application is not actively used. After the cookie is obtained through [Steal Web Session Cookie](https://attack.mitre.org/techniques/T1539), the adversary then imports the cookie into a browser they control and is able to use the site or application as the user for as long as the session cookie is active. Once logged into the site, an adversary can access sensitive information, read email, or perform actions that the victim account has permissions to perform.

There have been examples of malware targeting session cookies to bypass multi-factor authentication systems.(Citation: Unit 42 Mac Crypto Cookies January 2019) ","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1506', external_id='T1506'), ExternalReference(source_name='Pass The Cookie', description='Rehberger, J. (2018, December). Pivot to the Cloud using Pass the Cookie. Retrieved April 5, 2019.', url='https://wunderwuzzi23.github.io/blog/passthecookie.html'), ExternalReference(source_name='Unit 42 Mac Crypto Cookies January 2019', description='Chen, Y., Hu, W., Xu, Z., et. al.. (2019, January 31). Mac Malware Steals Cryptocurrency Exchanges’ Cookies. Retrieved October 14, 2019.', url='https://unit42.paloaltonetworks.com/mac-malware-steals-cryptocurrency-exchanges-cookies/')]",attack-pattern--c5e31fb5-fcbd-48a4-af8c-5a6ed5b932e5,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='defense-evasion'), KillChainPhase(kill_chain_name='mitre-attack', phase_name='lateral-movement')]",2019-10-17 13:21:27.306000+00:00,Web Session Cookie,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,['Johann Rehberger'],"['Authentication logs', 'Office 365 account logs']","['Logon Credentials', 'Multi-Factor Authentication']",,,,Monitor for anomalous access of websites and cloud-based applications by the same user in different locations or by different systems that do not match expected configurations.,,,,,,,,"['Office 365', 'SaaS']",,,,1.0
2019-10-08 20:04:35.508000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"An adversary may steal web application or service session cookies and use them to gain access web applications or Internet services as an authenticated user without needing credentials. Web applications and services often use session cookies as an authentication token after a user has authenticated to a website.

Cookies are often valid for an extended period of time, even if the web application is not actively used. Cookies can be found on disk, in the process memory of the browser, and in network traffic to remote systems. Additionally, other applications on the targets machine might store sensitive authentication cookies in memory (e.g. apps which authenticate to cloud services). Session cookies can be used to bypasses some multi-factor authentication protocols.(Citation: Pass The Cookie)

There are several examples of malware targeting cookies from web browsers on the local system.(Citation: Kaspersky TajMahal April 2019)(Citation: Unit 42 Mac Crypto Cookies January 2019) There are also open source frameworks such as Evilginx 2 and Mauraena that can gather session cookies through a man-in-the-middle proxy that can be set up by an adversary and used in phishing campaigns.(Citation: Github evilginx2)(Citation: GitHub Mauraena)

After an adversary acquires a valid cookie, they can then perform a [Web Session Cookie](https://attack.mitre.org/techniques/T1506) technique to login to the corresponding web application.","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1539', external_id='T1539'), ExternalReference(source_name='Pass The Cookie', description='Rehberger, J. (2018, December). Pivot to the Cloud using Pass the Cookie. Retrieved April 5, 2019.', url='https://wunderwuzzi23.github.io/blog/passthecookie.html'), ExternalReference(source_name='Kaspersky TajMahal April 2019', description='GReAT. (2019, April 10). Project TajMahal – a sophisticated new APT framework. Retrieved October 14, 2019.', url='https://securelist.com/project-tajmahal/90240/'), ExternalReference(source_name='Unit 42 Mac Crypto Cookies January 2019', description='Chen, Y., Hu, W., Xu, Z., et. al.. (2019, January 31). Mac Malware Steals Cryptocurrency Exchanges’ Cookies. Retrieved October 14, 2019.', url='https://unit42.paloaltonetworks.com/mac-malware-steals-cryptocurrency-exchanges-cookies/'), ExternalReference(source_name='Github evilginx2', description='Gretzky, Kuba. (2019, April 10). Retrieved October 8, 2019.', url='https://github.com/kgretzky/evilginx2'), ExternalReference(source_name='GitHub Mauraena', description='Orrù, M., Trotta, G.. (2019, September 11). Muraena. Retrieved October 14, 2019.', url='https://github.com/muraenateam/muraena')]",attack-pattern--10ffac09-e42d-4f56-ab20-db94c67d76ff,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='credential-access')]",2019-10-22 19:59:20.282000+00:00,Steal Web Session Cookie,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Microsoft Threat Intelligence Center (MSTIC)', 'Johann Rehberger']","['File monitoring', 'API monitoring']",,,,,Monitor for attempts to access files and repositories on a local system that are used to store browser session cookies. Monitor for attempts by programs to inject into or dump browser process memory.,,,,,,,['User'],"['Linux', 'macOS', 'Windows', 'Office 365', 'SaaS']",,,,1.0
2019-10-04 20:42:28.541000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems. Operating systems may contain commands to initiate a shutdown/reboot of a machine. In some cases, these commands may also be used to initiate a shutdown/reboot of a remote computer.(Citation: Microsoft Shutdown Oct 2017) Shutting down or rebooting systems may disrupt access to computer resources for legitimate users.

Adversaries may attempt to shutdown/reboot a system after impacting it in other ways, such as [Disk Structure Wipe](https://attack.mitre.org/techniques/T1487) or [Inhibit System Recovery](https://attack.mitre.org/techniques/T1490), to hasten the intended effects on system availability.(Citation: Talos Nyetya June 2017)(Citation: Talos Olympic Destroyer 2018)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1529', external_id='T1529'), ExternalReference(source_name='Microsoft Shutdown Oct 2017', description='Microsoft. (2017, October 15). Shutdown. Retrieved October 4, 2019.', url='https://docs.microsoft.com/en-us/windows-server/administration/windows-commands/shutdown'), ExternalReference(source_name='Talos Nyetya June 2017', description='Chiu, A. (2016, June 27). New Ransomware Variant ""Nyetya"" Compromises Systems Worldwide. Retrieved March 26, 2019.', url='https://blog.talosintelligence.com/2017/06/worldwide-ransomware-variant.html'), ExternalReference(source_name='Talos Olympic Destroyer 2018', description='Mercer, W. and Rascagneres, P. (2018, February 12). Olympic Destroyer Takes Aim At Winter Olympics. Retrieved March 14, 2019.', url='https://blog.talosintelligence.com/2018/02/olympic-destroyer.html')]",attack-pattern--ff73aa03-0090-4464-83ac-f89e233c02bc,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='impact')]",2019-10-09 18:26:25.824000+00:00,System Shutdown/Reboot,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,,"['Windows event logs', 'Process command-line parameters', 'Process monitoring']",,,,,"Use process monitoring to monitor the execution and command line parameters of binaries involved in shutting down or rebooting systems. Windows event logs may also designate activity associated with a shutdown/reboot, ex. Event ID 1074 and 6006.",,,,['Availability'],,,"['User', 'Administrator', 'root', 'SYSTEM']","['Linux', 'macOS', 'Windows']",,,,1.0
2019-09-19 14:07:11.734000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may use Event Monitor Daemon (emond) to establish persistence by scheduling malicious commands to run on predictable event triggers. Emond is a [Launch Daemon](https://attack.mitre.org/techniques/T1160) that accepts events from various services, runs them through a simple rules engine, and takes action. The emond binary at <code>/sbin/emond</code> will load any rules from the <code>/etc/emond.d/rules/</code> directory and take action once an explicitly defined event takes place. The rule files are in the plist format and define the name, event type, and action to take. Some examples of event types include system startup and user authentication. Examples of actions are to run a system command or send an email. The emond service will not launch if there is no file present in the QueueDirectories path <code>/private/var/db/emondClients</code>, specified in the [Launch Daemon](https://attack.mitre.org/techniques/T1160) configuration file at<code>/System/Library/LaunchDaemons/com.apple.emond.plist</code>.(Citation: xorrior emond Jan 2018)(Citation: magnusviri emond Apr 2016)(Citation: sentinelone macos persist Jun 2019)

Adversaries may abuse this service by writing a rule to execute commands when a defined event occurs, such as system start up or user authentication.(Citation: xorrior emond Jan 2018)(Citation: magnusviri emond Apr 2016)(Citation: sentinelone macos persist Jun 2019) Adversaries may also be able to escalate privileges from administrator to root as the emond service is executed with root privileges by the [Launch Daemon](https://attack.mitre.org/techniques/T1160) service.","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1519', external_id='T1519'), ExternalReference(source_name='xorrior emond Jan 2018', description='Ross, Chris. (2018, January 17). Leveraging Emond on macOS For Persistence. Retrieved September 10, 2019.', url='https://www.xorrior.com/emond-persistence/'), ExternalReference(source_name='magnusviri emond Apr 2016', description='Reynolds, James. (2016, April 7). What is emond?. Retrieved September 10, 2019.', url='http://www.magnusviri.com/Mac/what-is-emond.html'), ExternalReference(source_name='sentinelone macos persist Jun 2019', description='Stokes, Phil. (2019, June 17). HOW MALWARE PERSISTS ON MACOS. Retrieved September 10, 2019.', url='https://www.sentinelone.com/blog/how-malware-persists-on-macos/')]",attack-pattern--d376668f-b208-42de-b1f5-fdfe0ad4b753,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='persistence'), KillChainPhase(kill_chain_name='mitre-attack', phase_name='privilege-escalation')]",2019-10-16 21:50:02.245000+00:00,Emond,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,['Ivan Sinyakov'],"['File monitoring', 'API monitoring']",,,,,Monitor emond rules creation by checking for files created or modified in <code>/etc/emond.d/rules/</code> and <code>/private/var/db/emondClients</code>.,,,,,,,['Administrator'],['macOS'],,,,1.0
2019-09-16 17:52:44.147000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may attempt to get a listing of non-security related software that is installed on the system. Adversaries may use the information from [Software Discovery](https://attack.mitre.org/techniques/T1518) during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1518', external_id='T1518')]",attack-pattern--e3b6daca-e963-4a69-aee6-ed4fd653ad58,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='discovery')]",2019-09-27 19:03:39.143000+00:00,Software Discovery,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,,"['Process command-line parameters', 'Process monitoring', 'File monitoring']",,,,,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as lateral movement, based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047) and [PowerShell](https://attack.mitre.org/techniques/T1086).",,,,,,,"['User', 'Administrator']","['Linux', 'macOS', 'Windows']",,,,1.0
2019-09-04 19:26:12.441000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may use internal spearphishing to gain access to additional information or exploit other users within the same organization after they already have access to accounts or systems within the environment. Internal spearphishing is multi-staged attack where an email account is owned either by controlling the user's device with previously installed malware or by compromising the account credentials of the user. Adversaries attempt to take advantage of a trusted internal account to increase the likelihood of tricking the target into falling for the phish attempt.(Citation: Trend Micro When Phishing Starts from the Inside 2017)

Adversaries may leverage [Spearphishing Attachment](https://attack.mitre.org/techniques/T1193) or [Spearphishing Link](https://attack.mitre.org/techniques/T1192) as part of internal spearphishing to deliver a payload or redirect to an external site to capture credentials through [Input Capture](https://attack.mitre.org/techniques/T1056) on sites that mimic email login interfaces.

There have been notable incidents where internal spearphishing has been used. The Eye Pyramid campaign used phishing emails with malicious attachments for lateral movement between victims, compromising nearly 18,000 email accounts in the process.(Citation: Trend Micro When Phishing Starts from the Inside 2017) The Syrian Electronic Army (SEA) compromised email accounts at the Financial Times (FT) to steal additional account credentials. Once FT learned of the attack and began warning employees of the threat, the SEA sent phishing emails mimicking the Financial Times IT department and were able to compromise even more users.(Citation: THE FINANCIAL TIMES LTD 2019.)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1534', external_id='T1534'), ExternalReference(source_name='Trend Micro When Phishing Starts from the Inside 2017', description='Chris Taylor. (2017, October 5). When Phishing Starts from the Inside. Retrieved October 8, 2019.', url='https://blog.trendmicro.com/phishing-starts-inside/'), ExternalReference(source_name='THE FINANCIAL TIMES LTD 2019.', description='THE FINANCIAL TIMES. (2019, September 2). A sobering day. Retrieved October 8, 2019.', url=' https://labs.ft.com/2013/05/a-sobering-day/?mhq5j=e6 ')]",attack-pattern--9e7452df-5144-4b6e-b04a-b66dd4016747,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='lateral-movement')]",2019-10-22 21:37:05.004000+00:00,Internal Spearphishing,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Tim MalcomVetter', 'Swetha Prabakaran, Microsoft Threat Intelligence Center (MSTIC)']","['SSL/TLS inspection', 'DNS records', 'Anti-virus', 'Web proxy', 'File monitoring', 'Mail server', 'Office 365 trace logs']",,,,,"Network intrusion detection systems and email gateways usually do not scan internal email, but an organization can leverage the journaling-based solution which sends a copy of emails to a security service for offline analysis or incorporate service-integrated solutions using on-premise or API-based integrations to help detect internal spearphishing attacks.(Citation: Trend Micro When Phishing Starts from the Inside 2017)",,,,,,,['User'],"['Windows', 'macOS', 'Linux', 'Office 365', 'SaaS']",,,,1.0
2019-09-04 15:54:25.684000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries can steal user application access tokens as a means of acquiring credentials to access remote systems and resources. This can occur through social engineering and typically requires user action to grant access.

Application access tokens are used to make authorized API requests on behalf of a user and are commonly used as a way to access resources in cloud-based applications and software-as-a-service (SaaS).(Citation: Auth0 - Why You Should Always Use Access Tokens to Secure APIs Sept 2019) OAuth is one commonly implemented framework that issues tokens to users for access to systems. An application desiring access to cloud-based services or protected APIs can gain entry using OAuth 2.0 through a variety of authorization protocols. An example commonly-used sequence is Microsoft's Authorization Code Grant flow.(Citation: Microsoft Identity Platform Protocols May 2019)(Citation: Microsoft - OAuth Code Authorization flow - June 2019) An OAuth access token enables a third-party application to interact with resources containing user data in the ways requested by the application without obtaining user credentials. 
 
Adversaries can leverage OAuth authorization by constructing a malicious application designed to be granted access to resources with the target user's OAuth token. The adversary will need to complete registration of their application with the authorization server, for example Microsoft Identity Platform using Azure Portal, the Visual Studio IDE, the command-line interface, PowerShell, or REST API calls.(Citation: Microsoft - Azure AD App Registration - May 2019) Then, they can send a link through [Spearphishing Link](https://attack.mitre.org/techniques/T1192) to the target user to entice them to grant access to the application. Once the OAuth access token is granted, the application can gain potentially long-term access to features of the user account through [Application Access Token](https://attack.mitre.org/techniques/T1527).(Citation: Microsoft - Azure AD Identity Tokens - Aug 2019)

Adversaries have been seen targeting Gmail, Microsoft Outlook, and Yahoo Mail users.(Citation: Amnesty OAuth Phishing Attacks, August 2019)(Citation: Trend Micro Pawn Storm OAuth 2017)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1528', external_id='T1528'), ExternalReference(source_name='Auth0 - Why You Should Always Use Access Tokens to Secure APIs Sept 2019', description='Auth0. (n.d.). Why You Should Always Use Access Tokens to Secure APIs. Retrieved September 12, 2019.', url='https://auth0.com/docs/api-auth/why-use-access-tokens-to-secure-apis'), ExternalReference(source_name='Microsoft Identity Platform Protocols May 2019', description='Microsoft. (n.d.). Retrieved September 12, 2019.', url='https://docs.microsoft.com/en-us/azure/active-directory/develop/active-directory-v2-protocols'), ExternalReference(source_name='Microsoft - OAuth Code Authorization flow - June 2019', description='Microsoft. (n.d.). Microsoft identity platform and OAuth 2.0 authorization code flow. Retrieved September 12, 2019.', url='https://docs.microsoft.com/en-us/azure/active-directory/develop/v2-oauth2-auth-code-flow'), ExternalReference(source_name='Microsoft - Azure AD App Registration - May 2019', description='Microsoft. (2019, May 8). Quickstart: Register an application with the Microsoft identity platform. Retrieved September 12, 2019.', url='https://docs.microsoft.com/en-us/azure/active-directory/develop/quickstart-register-app'), ExternalReference(source_name='Microsoft - Azure AD Identity Tokens - Aug 2019', description='Microsoft. (2019, August 29). Microsoft identity platform access tokens. Retrieved September 12, 2019.', url='https://docs.microsoft.com/en-us/azure/active-directory/develop/access-tokens'), ExternalReference(source_name='Amnesty OAuth Phishing Attacks, August 2019', description='Amnesty International. (2019, August 16). Evolving Phishing Attacks Targeting Journalists and Human Rights Defenders from the Middle-East and North Africa. Retrieved October 8, 2019.', url='https://www.amnesty.org/en/latest/research/2019/08/evolving-phishing-attacks-targeting-journalists-and-human-rights-defenders-from-the-middle-east-and-north-africa/'), ExternalReference(source_name='Trend Micro Pawn Storm OAuth 2017', description='Hacquebord, F.. (2017, April 25). Pawn Storm Abuses Open Authentication in Advanced Social Engineering Attacks. Retrieved October 4, 2019.', url='https://blog.trendmicro.com/trendlabs-security-intelligence/pawn-storm-abuses-open-authentication-advanced-social-engineering-attacks')]",attack-pattern--890c9858-598c-401d-a4d5-c67ebcdd703a,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='credential-access')]",2019-10-18 15:20:05.470000+00:00,Steal Application Access Token,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Shailesh Tiwary (Indian Army)', 'Mark Wee', 'Jeff Sakowicz, Microsoft Identity Developer Platform Services (IDPM Services)', 'Saisha Agrawal, Microsoft Threat Intelligent Center (MSTIC)']","['Azure activity logs', 'OAuth audit logs']",,,,,"Administrators should set up monitoring to trigger automatic alerts when policy criteria are met. For example, using a Cloud Access Security Broker (CASB), admins can create a “High severity app permissions” policy that generates alerts if apps request high severity permissions or send permissions requests for too many users.

Security analysts can hunt for malicious apps using the tools available in their CASB, identity provider, or resource provider (depending on platform.) For example, they can filter for apps that are authorized by a small number of users, apps requesting high risk permissions, permissions incongruous with the app’s purpose, or apps with old “Last authorized” fields. A specific app can be investigated using an activity log displaying activities the app has performed, although some activities may be mis-logged as being performed by the user. App stores can be useful resources to further investigate suspicious apps.

Administrators can set up a variety of logs and leverage audit tools to monitor actions that can be conducted as a result of OAuth 2.0 access. For instance, audit reports enable admins to identify privilege escalation actions such as role creations or policy modifications, which could be actions performed after initial access.",,,,,,,['User'],"['SaaS', 'Office 365', 'Azure AD']",,,,1.0
2019-09-04 14:41:32.317000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may attempt to access the Cloud Instance Metadata API to collect credentials and other sensitive data.

Most cloud service providers support a Cloud Instance Metadata API which is a service provided to running virtual instances that allows applications to access information about the running virtual instance. Available information generally includes name, security group, and additional metadata including sensitive data such as credentials and UserData scripts that may contain additional secrets. The Instance Metadata API is provided as a convenience to assist in managing applications and is accessible by anyone who can access the instance.(Citation: AWS Instance Metadata API)

If adversaries have a presence on the running virtual instance, they may query the Instance Metadata API directly to identify credentials that grant access to additional resources. Additionally, attackers may exploit a Server-Side Request Forgery (SSRF) vulnerability in a public facing web proxy that allows the attacker to gain access to the sensitive information via a request to the Instance Metadata API.(Citation: RedLock Instance Metadata API 2018)

The de facto standard across cloud service providers is to host the Instance Metadata API at <code>http[:]//169.254.169.254</code>.
","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1522', external_id='T1522'), ExternalReference(source_name='AWS Instance Metadata API', description='AWS. (n.d.). Instance Metadata and User Data. Retrieved July 18, 2019.', url='https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-instance-metadata.html'), ExternalReference(source_name='RedLock Instance Metadata API 2018', description='Higashi, Michael. (2018, May 15). Instance Metadata API: A Modern Day Trojan Horse. Retrieved July 16, 2019.', url='https://redlock.io/blog/instance-metadata-api-a-modern-day-trojan-horse')]",attack-pattern--1c2fd73a-e634-44ed-b1b5-9e7cf7404e9f,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='credential-access')]",2019-10-22 19:57:25.998000+00:00,Cloud Instance Metadata API,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,['Praetorian'],"['Azure activity logs', 'AWS CloudTrail logs', 'Authentication logs']",,,,,"* Monitor access to the Instance Metadata API and look for anomalous queries.
* It may be possible to detect adversary use of credentials they have obtained. See [Valid Accounts](https://attack.mitre.org/techniques/T1078) for more information.
",,,,,,,['User'],"['AWS', 'GCP', 'Azure']",,,,1.0
2019-09-04 14:37:07.959000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"An adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence. In highly virtualized environments, such as cloud-based infrastructure, this may be easily facilitated using restoration from VM or data storage snapshots through the cloud management dashboard. Another variation of this technique is to utilize temporary storage attached to the compute instance. Most cloud providers provide various types of storage including persistent, local, and/or ephemeral, with the latter types often reset upon stop/restart of the VM.(Citation: Tech Republic - Restore AWS Snapshots)(Citation: Google - Restore Cloud Snapshot)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1536', external_id='T1536'), ExternalReference(source_name='Tech Republic - Restore AWS Snapshots', description='Hardiman, N.. (2012, March 20). Backing up and restoring snapshots on Amazon EC2 machines. Retrieved October 8, 2019.', url='https://www.techrepublic.com/blog/the-enterprise-cloud/backing-up-and-restoring-snapshots-on-amazon-ec2-machines/'), ExternalReference(source_name='Google - Restore Cloud Snapshot', description='Google. (2019, October 7). Restoring and deleting persistent disk snapshots. Retrieved October 8, 2019.', url='https://cloud.google.com/compute/docs/disks/restore-and-delete-snapshots')]",attack-pattern--3b4121aa-fc8b-40c8-ac4f-afcb5838b72c,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='defense-evasion')]",2019-10-22 19:35:54.112000+00:00,Revert Cloud Instance,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,['Netskope'],"['Azure OS logs', 'AWS CloudTrail logs', 'Azure activity logs', 'Stackdriver logs', 'AWS OS logs']",,,,,"Establish centralized logging of instance activity, which can be used to monitor and review system events even after reverting to a snapshot, rolling back changes, or changing persistence/type of storage. Monitor specifically for events related to snapshots and rollbacks and VM configuration changes, that are occurring outside of normal activity. To reduce false positives, valid change management procedures could introduce a known identifier that is logged with the change (e.g. tag or header) if supported by the cloud provider, to help distinguish valid, expected actions from malicious ones.",,,,,,,"['User', 'Administrator']","['AWS', 'GCP', 'Azure']",,,,1.0
