created,created_by_ref,description,external_references,id,kill_chain_phases,modified,name,object_marking_refs,revoked,type,x_mitre_contributors,x_mitre_data_sources,x_mitre_defense_bypassed,x_mitre_deprecated,x_mitre_detectable_by_common_defenses,x_mitre_detectable_by_common_defenses_explanation,x_mitre_detection,x_mitre_difficulty_for_adversary,x_mitre_difficulty_for_adversary_explanation,x_mitre_effective_permissions,x_mitre_impact_type,x_mitre_is_subtechnique,x_mitre_network_requirements,x_mitre_old_attack_id,x_mitre_permissions_required,x_mitre_platforms,x_mitre_remote_support,x_mitre_system_requirements,x_mitre_tactic_type,x_mitre_version
2021-04-23 01:04:57.161000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may modify code signing policies to enable execution of unsigned or self-signed code. Code signing provides a level of authenticity on a program from a developer and a guarantee that the program has not been tampered with. Security controls can include enforcement mechanisms to ensure that only valid, signed code can be run on an operating system. 

Some of these security controls may be enabled by default, such as Driver Signature Enforcement (DSE) on Windows or System Integrity Protection (SIP) on macOS.(Citation: Microsoft DSE June 2017)(Citation: Apple Disable SIP) Other such controls may be disabled by default but are configurable through application controls, such as only allowing signed Dynamic-Link Libraries (DLLs) to execute on a system. Since it can be useful for developers to modify default signature enforcement policies during the development and testing of applications, disabling of these features may be possible with elevated permissions.(Citation: Microsoft Unsigned Driver Apr 2017)(Citation: Apple Disable SIP)

Adversaries may modify code signing policies in a number of ways, including through use of command-line or GUI utilities, [Modify Registry](https://attack.mitre.org/techniques/T1112), rebooting the computer in a debug/recovery mode, or by altering the value of variables in kernel memory.(Citation: Microsoft TESTSIGNING Feb 2021)(Citation: Apple Disable SIP)(Citation: FireEye HIKIT Rootkit Part 2)(Citation: GitHub Turla Driver Loader) Examples of commands that can modify the code signing policy of a system include <code>bcdedit.exe -set TESTSIGNING ON</code> on Windows and <code>csrutil disable</code> on macOS.(Citation: Microsoft TESTSIGNING Feb 2021)(Citation: Apple Disable SIP) Depending on the implementation, successful modification of a signing policy may require reboot of the compromised system. Additionally, some implementations can introduce visible artifacts for the user (ex: a watermark in the corner of the screen stating the system is in Test Mode). Adversaries may attempt to remove such artifacts.(Citation: F-Secure BlackEnergy 2014)

To gain access to kernel memory to modify variables related to signature checks, such as modifying <code>g_CiOptions</code> to disable Driver Signature Enforcement, adversaries may conduct [Exploitation for Privilege Escalation](https://attack.mitre.org/techniques/T1068) using a signed, but vulnerable driver.(Citation: Unit42 AcidBox June 2020)(Citation: GitHub Turla Driver Loader)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1553/006', external_id='T1553.006'), ExternalReference(source_name='Microsoft DSE June 2017', description='Microsoft. (2017, June 1). Digital Signatures for Kernel Modules on Windows. Retrieved April 22, 2021.', url='https://docs.microsoft.com/en-us/previous-versions/windows/hardware/design/dn653559(v=vs.85)?redirectedfrom=MSDN'), ExternalReference(source_name='Apple Disable SIP', description='Apple. (n.d.). Disabling and Enabling System Integrity Protection. Retrieved April 22, 2021.', url='https://developer.apple.com/documentation/security/disabling_and_enabling_system_integrity_protection'), ExternalReference(source_name='Microsoft Unsigned Driver Apr 2017', description='Microsoft. (2017, April 20). Installing an Unsigned Driver during Development and Test. Retrieved April 22, 2021.', url='https://docs.microsoft.com/en-us/windows-hardware/drivers/install/installing-an-unsigned-driver-during-development-and-test'), ExternalReference(source_name='Microsoft TESTSIGNING Feb 2021', description='Microsoft. (2021, February 15). Enable Loading of Test Signed Drivers. Retrieved April 22, 2021.', url='https://docs.microsoft.com/en-us/windows-hardware/drivers/install/the-testsigning-boot-configuration-option'), ExternalReference(source_name='FireEye HIKIT Rootkit Part 2', description='Glyer, C., Kazanciyan, R. (2012, August 22). The “Hikit” Rootkit: Advanced and Persistent Attack Techniques (Part 2). Retrieved May 4, 2020.', url='https://www.fireeye.com/blog/threat-research/2012/08/hikit-rootkit-advanced-persistent-attack-techniques-part-2.html'), ExternalReference(source_name='GitHub Turla Driver Loader', description='TDL Project. (2016, February 4). TDL (Turla Driver Loader). Retrieved April 22, 2021.', url='https://github.com/hfiref0x/TDL'), ExternalReference(source_name='F-Secure BlackEnergy 2014', description='F-Secure Labs. (2014). BlackEnergy & Quedagh: The convergence of crimeware and APT attacks. Retrieved March 24, 2016.', url='https://blog-assets.f-secure.com/wp-content/uploads/2019/10/15163408/BlackEnergy_Quedagh.pdf'), ExternalReference(source_name='Unit42 AcidBox June 2020', description='Reichel, D. and Idrizovic, E. (2020, June 17). AcidBox: Rare Malware Repurposing Turla Group Exploit Targeted Russian Organizations. Retrieved March 16, 2021.', url='https://unit42.paloaltonetworks.com/acidbox-rare-malware/')]",attack-pattern--565275d5-fcc3-4b66-b4e7-928e4cac6b8c,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='defense-evasion')]",2021-04-26 15:41:39.155000+00:00,Code Signing Policy Modification,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Abel Morales, Exabeam']","['Windows Registry: Windows Registry Key Modification', 'Command: Command Execution', 'Process: Process Creation']","['Application control', 'User Mode Signature Validation', 'Digital Certificate Validation']",,,,"Monitor processes and command-line arguments for actions that could be taken to modify the code signing policy of a system, such as <code>bcdedit.exe -set TESTSIGNING ON</code>.(Citation: Microsoft TESTSIGNING Feb 2021) Consider monitoring for modifications made to Registry keys associated with code signing policies, such as <code>HKCU\Software\Policies\Microsoft\Windows NT\Driver Signing</code>. Modifications to the code signing policy of a system are likely to be rare.",,,,,True,,,['Administrator'],"['Windows', 'macOS']",,,,1.0
2021-04-01 16:42:08.735000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"
Adversaries may gather information in an attempt to calculate the geographical location of a victim host. Adversaries may use the information from [System Location Discovery](https://attack.mitre.org/techniques/T1614) during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.

Adversaries may attempt to infer the location of a system using various system checks, such as time zone, keyboard layout, and/or language settings.(Citation: FBI Ragnar Locker 2020)(Citation: Sophos Geolocation 2016)(Citation: Bleepingcomputer RAT malware 2020) Windows API functions such as <code>GetLocaleInfoW</code> can also be used to determine the locale of the host.(Citation: FBI Ragnar Locker 2020) In cloud environments, an instance's availability zone may also be discovered by accessing the instance metadata service from the instance.(Citation: AWS Instance Identity Documents)(Citation: Microsoft Azure Instance Metadata 2021)

Adversaries may also attempt to infer the location of a victim host using IP addressing, such as via online geolocation IP-lookup services.(Citation: Securelist Trasparent Tribe 2020)(Citation: Sophos Geolocation 2016)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1614', external_id='T1614'), ExternalReference(source_name='FBI Ragnar Locker 2020', description='FBI. (2020, November 19). Indicators of Compromise Associated with Ragnar Locker Ransomware. Retrieved April 1, 2021.', url='https://assets.documentcloud.org/documents/20413525/fbi-flash-indicators-of-compromise-ragnar-locker-ransomware-11192020-bc.pdf'), ExternalReference(source_name='Sophos Geolocation 2016', description='Wisniewski, C. (2016, May 3). Location-based threats: How cybercriminals target you based on where you live. Retrieved April 1, 2021.', url='https://news.sophos.com/en-us/2016/05/03/location-based-ransomware-threat-research/'), ExternalReference(source_name='Bleepingcomputer RAT malware 2020', description='Abrams, L. (2020, October 23). New RAT malware gets commands via Discord, has ransomware feature. Retrieved April 1, 2021.', url='https://www.bleepingcomputer.com/news/security/new-rat-malware-gets-commands-via-discord-has-ransomware-feature/'), ExternalReference(source_name='AWS Instance Identity Documents', description='Amazon. (n.d.). Instance identity documents. Retrieved April 2, 2021.', url='https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-identity-documents.html'), ExternalReference(source_name='Microsoft Azure Instance Metadata 2021', description='Microsoft. (2021, February 21). Azure Instance Metadata Service (Windows). Retrieved April 2, 2021.', url='https://docs.microsoft.com/en-us/azure/virtual-machines/windows/instance-metadata-service?tabs=windows'), ExternalReference(source_name='Securelist Trasparent Tribe 2020', description='Dedola, G. (2020, August 20). Transparent Tribe: Evolution analysis, part 1. Retrieved April 1, 2021.', url='https://securelist.com/transparent-tribe-part-1/98127/')]",attack-pattern--c877e33f-1df6-40d6-b1e7-ce70f16f4979,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='discovery')]",2021-04-20 19:25:49.977000+00:00,System Location Discovery,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Pooja Natarajan, NEC Corporation India', 'Hiroki Nagahama, NEC Corporation', 'Manikantan Srinivasan, NEC Corporation India', 'Wes Hurd', 'Katie Nickels, Red Canary']","['Instance: Instance Metadata', 'Process: Process Creation', 'Command: Command Execution', 'Process: OS API Execution']",,,,,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system location information. Remote access tools with built-in features may interact directly with the Windows API, such as calling <code> GetLocaleInfoW</code> to gather information.(Citation: FBI Ragnar Locker 2020)

Monitor traffic flows to geo-location service provider sites, such as ip-api and ipinfo.",,,,,False,,,['User'],"['Windows', 'Linux', 'macOS', 'IaaS']",,,,1.0
2021-03-31 14:26:00.848000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may attempt to discover containers and other resources that are available within a containers environment. Other resources may include images, deployments, pods, nodes, and other information such as the status of a cluster.

These resources can be viewed within web applications such as the Kubernetes dashboard or can be queried via the Docker and Kubernetes APIs.(Citation: Docker API)(Citation: Kubernetes API) In Docker, logs may leak information about the environment, such as the environment’s configuration, which services are available, and what cloud provider the victim may be utilizing. The discovery of these resources may inform an adversary’s next steps in the environment, such as how to perform lateral movement and which methods to utilize for execution. ","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1613', external_id='T1613'), ExternalReference(source_name='Docker API', description='Docker. (n.d.). Docker Engine API v1.41 Reference. Retrieved March 31, 2021.', url='https://docs.docker.com/engine/api/v1.41/'), ExternalReference(source_name='Kubernetes API', description='The Kubernetes Authors. (n.d.). The Kubernetes API. Retrieved March 29, 2021.', url='https://kubernetes.io/docs/concepts/overview/kubernetes-api/')]",attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='discovery')]",2021-04-12 18:22:05.737000+00:00,Container and Resource Discovery,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Vishwas Manral, McAfee', 'Center for Threat-Informed Defense (CTID)', 'Yossi Weizman, Azure Defender Research Team']","['Cluster: Cluster Metadata', 'Container: Container Enumeration', 'Container: Container Metadata', 'Pod: Pod Enumeration', 'Pod: Pod Metadata', 'Application Log: Application Log Content']",,,,,"Establish centralized logging for the activity of container and Kubernetes cluster components. This can be done by deploying logging agents on Kubernetes nodes and retrieving logs from sidecar proxies for application pods to detect malicious activity at the cluster level.

Monitor logs for actions that could be taken to gather information about container infrastructure, including the use of discovery API calls by new or unexpected users. Monitor account activity logs to see actions performed and activity associated with the Kubernetes dashboard and other web applications. ",,,,,False,,,['User'],['Containers'],,,,1.0
2021-03-31 14:01:52.321000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may gather credentials via APIs within a containers environment. APIs in these environments, such as the Docker API and Kubernetes APIs, allow a user to remotely manage their container resources and cluster components.(Citation: Docker API)(Citation: Kubernetes API)

An adversary may access the Docker API to collect logs that contain credentials to cloud, container, and various other resources in the environment.(Citation: Unit 42 Unsecured Docker Daemons) An adversary with sufficient permissions, such as via a pod's service account, may also use the Kubernetes API to retrieve credentials from the Kubernetes API server. These credentials may include those needed for Docker API authentication or secrets from Kubernetes cluster components. ","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1552/007', external_id='T1552.007'), ExternalReference(source_name='Docker API', description='Docker. (n.d.). Docker Engine API v1.41 Reference. Retrieved March 31, 2021.', url='https://docs.docker.com/engine/api/v1.41/'), ExternalReference(source_name='Kubernetes API', description='The Kubernetes Authors. (n.d.). The Kubernetes API. Retrieved March 29, 2021.', url='https://kubernetes.io/docs/concepts/overview/kubernetes-api/'), ExternalReference(source_name='Unit 42 Unsecured Docker Daemons', description=""Chen, J.. (2020, January 29). Attacker's Tactics and Techniques in Unsecured Docker Daemons Revealed. Retrieved March 31, 2021."", url='https://unit42.paloaltonetworks.com/attackers-tactics-and-techniques-in-unsecured-docker-daemons-revealed/')]",attack-pattern--f8ef3a62-3f44-40a4-abca-761ab235c436,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='credential-access')]",2021-04-12 18:20:31.636000+00:00,Container API,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Center for Threat-Informed Defense (CTID)', 'Jay Chen, Palo Alto Networks', 'Yossi Weizman, Azure Defender Research Team']","['Command: Command Execution', 'File: File Access', 'User Account: User Account Authentication']",,,,,"Establish centralized logging for the activity of container and Kubernetes cluster components. Monitor logs for actions that could be taken to gather credentials to container and cloud infrastructure, including the use of discovery API calls by new or unexpected users and APIs that access Docker logs.

It may be possible to detect adversary use of credentials they have obtained such as in [Valid Accounts](https://attack.mitre.org/techniques/T1078).",,,,,True,,,"['User', 'Administrator']",['Containers'],,,,1.0
2021-03-30 17:54:03.944000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may build a container image directly on a host to bypass defenses that monitor for the retrieval of malicious images from a public registry. A remote <code>build</code> request may be sent to the Docker API that includes a Dockerfile that pulls a vanilla base image, such as alpine, from a public or local registry and then builds a custom image upon it.(Citation: Docker Build Image)

An adversary may take advantage of that <code>build</code> API to build a custom image on the host that includes malware downloaded from their C2 server, and then they then may utilize [Deploy Container](https://attack.mitre.org/techniques/T1610) using that custom image.(Citation: Aqua Build Images on Hosts) If the base image is pulled from a public registry, defenses will likely not detect the image as malicious since it’s a vanilla image. If the base image already resides in a local registry, the pull may be considered even less suspicious since the image is already in the environment. ","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1612', external_id='T1612'), ExternalReference(source_name='Docker Build Image', description='Docker. ( null). Docker Engine API v1.41 Reference - Build an Image. Retrieved March 30, 2021.', url='https://docs.docker.com/engine/api/v1.41/#operation/ImageBuild'), ExternalReference(source_name='Aqua Build Images on Hosts', description='Assaf Morag. (2020, July 15). Threat Alert: Attackers Building Malicious Images on Your Hosts. Retrieved March 29, 2021.', url='https://blog.aquasec.com/malicious-container-image-docker-container-host')]",attack-pattern--800f9819-7007-4540-a520-40e655876800,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='defense-evasion')]",2021-04-19 13:39:56.999000+00:00,Build Image on Host,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Assaf Morag, @MoragAssaf, Team Nautilus Aqua Security', 'Roi Kol, @roykol1, Team Nautilus Aqua Security', 'Michael Katchinskiy, @michael64194968, Team Nautilus Aqua Security', 'Vishwas Manral, McAfee']","['Image: Image Creation', 'Network Traffic: Network Connection Creation', 'Network Traffic: Network Traffic Flow', 'Network Traffic: Network Traffic Content']",,,,,Monitor for unexpected Docker image build requests to the Docker daemon on hosts in the environment. Additionally monitor for subsequent network communication with anomalous IPs that have never been seen before in the environment that indicate the download of malicious code.,,,,,False,,,"['User', 'root']",['Containers'],,,,1.0
2021-03-30 17:38:34.277000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may break out of a container to gain access to the underlying host. This can allow an adversary access to other containerized resources from the host level or to the host itself. In principle, containerized resources should provide a clear separation of application functionality and be isolated from the host environment.(Citation: Docker Overview)

There are multiple ways an adversary may escape to a host environment. Examples include creating a container configured to mount the host’s filesystem using the bind parameter, which allows the adversary to drop payloads and execute control utilities such as cron on the host, and utilizing a privileged container to run commands on the underlying host.(Citation: Docker Bind Mounts)(Citation: Trend Micro Privileged Container)(Citation: Intezer Doki July 20) Gaining access to the host may provide the adversary with the opportunity to achieve follow-on objectives, such as establishing persistence, moving laterally within the environment, or setting up a command and control channel on the host.","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1611', external_id='T1611'), ExternalReference(source_name='Docker Overview', description='Docker. (n.d.). Docker Overview. Retrieved March 30, 2021.', url='https://docs.docker.com/get-started/overview/'), ExternalReference(source_name='Docker Bind Mounts', description='Docker. (n.d.). Use Bind Mounts. Retrieved March 30, 2021.', url='https://docs.docker.com/storage/bind-mounts/'), ExternalReference(source_name='Trend Micro Privileged Container', description='Fiser, D., Oliveira, A.. (2019, December 20). Why a Privileged Container in Docker is a Bad Idea. Retrieved March 30, 2021.', url='https://www.trendmicro.com/en_us/research/19/l/why-running-a-privileged-container-in-docker-is-a-bad-idea.html'), ExternalReference(source_name='Intezer Doki July 20', description='Fishbein, N., Kajiloti, M.. (2020, July 28). Watch Your Containers: Doki Infecting Docker Servers in the Cloud. Retrieved March 30, 2021.', url='https://www.intezer.com/blog/cloud-security/watch-your-containers-doki-infecting-docker-servers-in-the-cloud/')]",attack-pattern--4a5b7ade-8bb5-4853-84ed-23f262002665,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='privilege-escalation')]",2021-04-22 16:14:59.756000+00:00,Escape to Host,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Joas Antonio dos Santos, @C0d3Cr4zy, Inmetrics', 'Alfredo Oliveira, Trend Micro', 'David Fiser, @anu4is, Trend Micro', 'Idan Frimark, Cisco', 'Magno Logan, @magnologan, Trend Micro', 'Ariel Shuper, Cisco', 'Yossi Weizman, Azure Defender Research Team', 'Vishwas Manral, McAfee']","['Container: Container Creation', 'Process: OS API Execution', 'Process: Process Creation']",,,,,"Monitor for the deployment of suspicious or unknown container images and pods in your environment, particularly containers running as root. Additionally, monitor for unexpected usage of syscalls such as <code>mount</code> (as well as resulting process activity) that may indicate an attempt to escape from a privileged container to host. In Kubernetes, monitor for cluster-level events associated with changing containers' volume configurations.",,,,,False,,,"['Administrator', 'User', 'root']","['Windows', 'Linux', 'Containers']",,,,1.0
2021-03-30 17:20:05.789000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may rely on a user running a malicious image to facilitate execution. Amazon Web Services (AWS) Amazon Machine Images (AMIs), Google Cloud Platform (GCP) Images, and Azure Images as well as popular container runtimes such as Docker can be backdoored. Backdoored images may be uploaded to a public repository via [Upload Malware](https://attack.mitre.org/techniques/T1608/001), and users may then download and deploy an instance or container from the image without realizing the image is malicious, thus bypassing techniques that specifically achieve Initial Access. This can lead to the execution of malicious code, such as code that executes cryptocurrency mining, in the instance or container.(Citation: Summit Route Malicious AMIs)

Adversaries may also name images a certain way to increase the chance of users mistakenly deploying an instance or container from the image (ex: [Match Legitimate Name or Location](https://attack.mitre.org/techniques/T1036/005)).","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1204/003', external_id='T1204.003'), ExternalReference(source_name='Summit Route Malicious AMIs', description='Piper, S.. (2018, September 24). Investigating Malicious AMIs. Retrieved March 30, 2021.', url='https://summitroute.com/blog/2018/09/24/investigating_malicious_amis/')]",attack-pattern--b0c74ef9-c61e-4986-88cb-78da98a355ec,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='execution')]",2021-04-12 17:54:08.797000+00:00,Malicious Image,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Center for Threat-Informed Defense (CTID)', 'Vishwas Manral, McAfee']","['Container: Container Creation', 'Container: Container Start', 'Command: Command Execution', 'Image: Image Creation', 'Instance: Instance Creation', 'Instance: Instance Start', 'Application Log: Application Log Content']",,,,,"Monitor the local image registry to make sure malicious images are not added. Track the deployment of new containers, especially from newly built images. Monitor the behavior of containers within the environment to detect anomalous behavior or malicious activity after users deploy from malicious images.",,,,,True,,,['User'],"['IaaS', 'Containers']",,,,1.0
2021-03-29 17:06:22.247000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute malicious code. Container orchestration jobs run these automated tasks at a specific date and time, similar to cron jobs on a Linux system. Deployments of this type can also be configured to maintain a quantity of containers over time, automating the process of maintaining persistence within a cluster.

In Kubernetes, a CronJob may be used to schedule a Job that runs one or more containers to perform specific tasks.(Citation: Kubernetes Jobs)(Citation: Kubernetes CronJob) An adversary therefore may utilize a CronJob to schedule deployment of a Job that executes malicious code in the cluster.(Citation: Threat Matrix for Kubernetes)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1053/007', external_id='T1053.007'), ExternalReference(source_name='Kubernetes Jobs', description='The Kubernetes Authors. (n.d.). Kubernetes Jobs. Retrieved March 30, 2021.', url='https://kubernetes.io/docs/concepts/workloads/controllers/job/'), ExternalReference(source_name='Kubernetes CronJob', description='The Kubernetes Authors. (n.d.). Kubernetes CronJob. Retrieved March 29, 2021.', url='https://kubernetes.io/docs/concepts/workloads/controllers/cron-jobs/'), ExternalReference(source_name='Threat Matrix for Kubernetes', description='Weizman, Y. (2020, April 2). Threat Matrix for Kubernetes. Retrieved March 30, 2021.', url='https://www.microsoft.com/security/blog/2020/04/02/attack-matrix-kubernetes/')]",attack-pattern--1126cab1-c700-412f-a510-61f4937bb096,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='execution'), KillChainPhase(kill_chain_name='mitre-attack', phase_name='persistence'), KillChainPhase(kill_chain_name='mitre-attack', phase_name='privilege-escalation')]",2021-04-12 18:09:46.821000+00:00,Container Orchestration Job,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Center for Threat-Informed Defense (CTID)', 'Vishwas Manral, McAfee', 'Yossi Weizman, Azure Defender Research Team']","['Scheduled Job: Scheduled Job Creation', 'Container: Container Creation', 'File: File Creation']",,,,,Monitor for the anomalous creation of scheduled jobs in container orchestration environments. Use logging agents on Kubernetes nodes and retrieve logs from sidecar proxies for application and resource pods to monitor malicious container orchestration job deployments. ,,,,,True,,,['User'],['Containers'],,,,1.0
2021-03-29 16:51:26.020000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may deploy a container into an environment to facilitate execution or evade defenses. In some cases, adversaries may deploy a new container to execute processes associated with a particular image or deployment, such as processes that execute or download malware. In others, an adversary may deploy a new container configured without network rules, user limitations, etc. to bypass existing defenses within the environment.

Containers can be deployed by various means, such as via Docker's <code>create</code> and <code>start</code> APIs or via a web application such as the Kubernetes dashboard or Kubeflow.(Citation: Docker Containers API)(Citation: Kubernetes Dashboard)(Citation: Kubeflow Pipelines) Adversaries may deploy containers based on retrieved or built malicious images or from benign images that download and execute malicious payloads at runtime.(Citation: Aqua Build Images on Hosts)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1610', external_id='T1610'), ExternalReference(source_name='Docker Containers API', description='Docker. (n.d.). Docker Engine API v1.41 Reference - Container. Retrieved March 29, 2021.', url='https://docs.docker.com/engine/api/v1.41/#tag/Container'), ExternalReference(source_name='Kubernetes Dashboard', description='The Kubernetes Authors. (n.d.). Kubernetes Web UI (Dashboard). Retrieved March 29, 2021.', url='https://kubernetes.io/docs/tasks/access-application-cluster/web-ui-dashboard/'), ExternalReference(source_name='Kubeflow Pipelines', description='The Kubeflow Authors. (n.d.). Overview of Kubeflow Pipelines. Retrieved March 29, 2021.', url='https://www.kubeflow.org/docs/components/pipelines/overview/pipelines-overview/'), ExternalReference(source_name='Aqua Build Images on Hosts', description='Assaf Morag. (2020, July 15). Threat Alert: Attackers Building Malicious Images on Your Hosts. Retrieved March 29, 2021.', url='https://blog.aquasec.com/malicious-container-image-docker-container-host')]",attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='defense-evasion'), KillChainPhase(kill_chain_name='mitre-attack', phase_name='execution')]",2021-04-14 12:02:20.641000+00:00,Deploy Container,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Pawan Kinger, @kingerpawan, Trend Micro', 'Alfredo Oliveira, Trend Micro', 'Idan Frimark, Cisco', 'Center for Threat-Informed Defense (CTID)', 'Magno Logan, @magnologan, Trend Micro', 'Ariel Shuper, Cisco', 'Vishwas Manral, McAfee', 'Yossi Weizman, Azure Defender Research Team']","['Container: Container Creation', 'Container: Container Start', 'Pod: Pod Creation', 'Pod: Pod Modification', 'Application Log: Application Log Content']",,,,,"Monitor for suspicious or unknown container images and pods in your environment. Deploy logging agents on Kubernetes nodes and retrieve logs from sidecar proxies for application pods to detect malicious activity at the cluster level. In Docker, the daemon log provides insight into remote API calls, including those that deploy containers. Logs for management services or applications used to deploy containers other than the native technologies themselves should also be monitored.",,,,,False,,,"['User', 'root']",['Containers'],True,,,1.0
2021-03-29 16:39:26.183000+00:00,identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5,"Adversaries may abuse a container administration service to execute commands within a container. A container administration service such as the Docker daemon, the Kubernetes API server, or the kubelet may allow remote management of containers within an environment.(Citation: Docker Daemon CLI)(Citation: Kubernetes API)(Citation: Kubernetes Kubelet)

In Docker, adversaries may specify an entrypoint during container deployment that executes a script or command, or they may use a command such as <code>docker exec</code> to execute a command within a running container.(Citation: Docker Entrypoint)(Citation: Docker Exec) In Kubernetes, if an adversary has sufficient permissions, they may gain remote execution in a container in the cluster via interaction with the Kubernetes API server, the kubelet, or by running a command such as <code>kubectl exec</code>.(Citation: Kubectl Exec Get Shell)","[ExternalReference(source_name='mitre-attack', url='https://attack.mitre.org/techniques/T1609', external_id='T1609'), ExternalReference(source_name='Docker Daemon CLI', description='Docker. (n.d.). DockerD CLI. Retrieved March 29, 2021.', url='https://docs.docker.com/engine/reference/commandline/dockerd/'), ExternalReference(source_name='Kubernetes API', description='The Kubernetes Authors. (n.d.). The Kubernetes API. Retrieved March 29, 2021.', url='https://kubernetes.io/docs/concepts/overview/kubernetes-api/'), ExternalReference(source_name='Kubernetes Kubelet', description='The Kubernetes Authors. (n.d.). Kubelet. Retrieved March 29, 2021.', url='https://kubernetes.io/docs/reference/command-line-tools-reference/kubelet/'), ExternalReference(source_name='Docker Entrypoint', description='Docker. (n.d.). Docker run reference. Retrieved March 29, 2021.', url='https://docs.docker.com/engine/reference/run/#entrypoint-default-command-to-execute-at-runtime'), ExternalReference(source_name='Docker Exec', description='Docker. (n.d.). Docker Exec. Retrieved March 29, 2021.', url='https://docs.docker.com/engine/reference/commandline/exec/'), ExternalReference(source_name='Kubectl Exec Get Shell', description='The Kubernetes Authors. (n.d.). Get a Shell to a Running Container. Retrieved March 29, 2021.', url='https://kubernetes.io/docs/tasks/debug-application-cluster/get-shell-running-container/')]",attack-pattern--7b50a1d3-4ca7-45d1-989d-a6503f04bfe1,"[KillChainPhase(kill_chain_name='mitre-attack', phase_name='execution')]",2021-04-14 12:01:10.545000+00:00,Container Administration Command,['marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168'],False,attack-pattern,"['Alfredo Oliveira, Trend Micro', 'David Fiser, @anu4is, Trend Micro', 'Brad Geesaman, @bradgeesaman', 'Center for Threat-Informed Defense (CTID)', 'Magno Logan, @magnologan, Trend Micro', 'Vishwas Manral, McAfee', 'Yossi Weizman, Azure Defender Research Team']",['Command: Command Execution'],,,,,"Container administration service activities and executed commands can be captured through logging of process execution with command-line arguments on the container and the underlying host. In Docker, the daemon log provides insight into events at the daemon and container service level. Kubernetes system component logs may also detect activities running in and out of containers in the cluster. ",,,,,False,,,,['Containers'],True,,,1.0
